pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
72957,11,collegedunia,245,api_VmJraVl2bG1ENEgvZWoyeThENGRGdz09,1,0,0,1,1,0,0,0,0
72957,11,collegedunia,227,api_dVVMaHVyZGlWNlpETlBtY1p1dmU4dz09,1,0,0,1,0,1,0,0,0
72957,11,collegedunia,246,api_VzlzVFFtV2lhRXdaUUN2bXpkTkltUT09,1,0,0,1,1,0,0,0,0
72957,11,collegedunia,227,api_ZUttWW1MZU51L0JsTkVmZm1oRzI2QT09,1,0,0,1,1,0,0,0,0
72957,11,collegedunia,228,api_bERIdUdVdFZzRUpYU2QrR1B5UWJrQT09,1,0,0,1,0,1,0,0,0
72957,11,collegedunia,227,api_cHFIeXI5cUlQbHNDT0N5aktaR3FGUT09,1,0,0,1,0,1,0,0,0
72957,11,collegedunia,227,api_OTVjVGd5L3VUWXJPRUdjM0NsUmRsQT09,1,0,0,1,0,1,0,0,0
72957,11,collegedunia,204_RV,api_TXJRL1NEVFpWeXJObWY1dS9LSXdRdz09,1,0,0,1,1,0,0,0,0
72957,11,collegedunia,279_MPA,api_Y3lkNVd0WHlvZHUrOG1lNGpIWTRqUT09,1,0,0,1,1,0,0,0,0
72957,11,collegedunia,227,api_WndzcW9KT2ZVbStZS2k4MjA4dG12QT09,1,0,0,1,0,1,0,0,0
